Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,A_Referee_1,A_Referee_2,4_official,VAR_official,AVAR_official,Gls_T1,Gls_T2,FR,Coach_T1,Coach_T2,Fmt_T1,Fmt_T2,Ptt,Ptr,Ptp,Ptt_T1,Pt_DH_T1,Pt_OH_T1,Ptt_T2,Pt_DH_T2,Pt_OH_T2,Pt_0_15_T1,Pt_16_30_T1,Pt_31_HT_T1,Pt_45_60_T1,Pt_61_75_T1,Pt_76_FT_T1,Pt_0_15_T2,Pt_16_30_T2,Pt_31_HT_T2,Pt_45_60_T2,Pt_61_75_T2,Pt_76_FT_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_on_fk_T1,Atp_on_fk_T2,Atp_on_pb_T1,Atp_on_pb_T2,Atp_off_T1,Atp_off_T2,Svs_T1,Svs_T2,Scr_chc_T1,Scr_chc_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Crn_T1,Crn_T2,FlsC_T1,FlsC_T2,PssC_T1,PssC_T2,PssC_%_T1,PssC_%_T2,LngP_T1,LngP_T2,MdmP_T1,MdmP_T2,ShrP_T1,ShrP_T2,KPss_T1,KPss_T2,Rcv_T1,Rcv_T2,CntA_T1,CntA_T2,Pnt_T1,Pnt_T2,Dst_c_T1,Dst_j_T1,Dst_r_T1,Dst_s_T1,Dst_c_T2,Dst_j_T2,Dst_r_T2,Dst_s_T2,Avg_Spd_T1,Avg_Spd_T2,Atk_l_T1,Atk_c_T1,Atk_r_T1,Atk_l_T2,Atk_c_T2,Atk_r_T2,Crs_Cmp_NrCrn_l_T1,Crs_Cmp_NrCrn_r_T1,Crs_Cmp_FnlThr_l_T1,Crs_Cmp_FnlThr_r_T1,Crs_Cmp_BfrFnlThr_l_T1,Crs_Cmp_BfrFnlThr_r_T1,Crs_Cmp_NrCrn_l_T2,Crs_Cmp_NrCrn_r_T2,Crs_Cmp_FnlThr_l_T2,Crs_Cmp_FnlThr_r_T2,Crs_Cmp_BfrFnlThr_l_T2,Crs_Cmp_BfrFnlThr_r_T2,K_Ply_T1,K_Ply_Nbr_T1,K_Ply_T2,K_Ply_Nbr_T2,Odd_T1,Odd_D,Odd_T2
2019-2020,30,INTER,BOLOGNA,05/07/2020,STADIUM GIUSEPPE MEAZZA,17:15:00,LUCA  PAIRETTO,VALENTINO  FIORITO,PASQUALE  DE MEO,DAVIDE  GHERSINI,ALEANDRO  DI PAOLO,SERGIO RANGHETTI,1,2,A,ANTONIO CONTE,SINISA MIHAJLOVIC,3-4-1-2,4-2-3-1,97'58,46'06,0.47,27'01 (59%),14'24 (53%),12'37 (47%),19'05 (41%),12'35 (66%),6'30 (34%),4'27,3'20,4'56,5'25,2'37,6'16,2'43,2'46,3'31,3'22,2'14,4'29,15,11,9(1),8(2),1,0,9,6,6,3,5,7,8,8,0,1,1,1,11,9,16,12,395,202,0.84,0.7,48,33,160,67,187,102,4,3,56,55,12,18,1 (0),0 (0),104.147,28.986,65.602,9.559,103.006,28.201,66.085,8.72,6.4,6.5,26 (43%),15 (24%),20 (33%),10 (31%),4 (13%),18 (56%),2/6,0/1,0/3,0/2,0/0,0/0,0/0,0/1,1/1,1/1,0/0,0/0,ROMELU LUKAKU,9,MUSA JUWARA,26,1.5,4.2,7.0
2019-2020,30,BRESCIA,HELLAS VERONA,05/07/2020,STADIUM MARIO RIGAMONTI,19:30:00,MARCO  PICCININI,MAURO  GALETTO,EMANUELE  PRENNA,DANIELE  MINELLI,MICHAEL  FABBRI,ALESSIO TOLFO,2,0,H,DIEGO LOPEZ,IVAN JURIC,4-3-1-2,3-4-3,100'25,44'46,0.45,16'54 (38%),8'34 (51%),8'20 (49%),27'52 (62%),13'27 (48%),14'25 (52%),2'33,1'17,3'00,3'20,2'37,4'07,4'53,5'05,4'02,5'07,2'41,6'02,7,14,6(2),9(0),0,0,6,5,1,5,9,2,5,4,2,0,1,1,3,11,11,13,242,472,0.75,0.86,27,41,72,203,143,228,1,3,73,65,15,16,0 (0),0 (0),106.537,29.459,68.606,8.472,106.693,30.117,67.668,8.908,6.6,6.5,14 (33%),13 (31%),15 (36%),34 (57%),7 (11%),19 (32%),0/2,3/4,1/5,1/2,0/0,1/1,3/5,3/4,1/4,2/7,1/1,0/2,ERNESTO TORREGROSSA,11,DARKO LAZOVIC,88,5.5,4.0,1.61
2019-2020,30,CAGLIARI,ATALANTA,05/07/2020,STADIUM SARDEGNA ARENA,19:30:00,FEDERICO  LA PENNA,DARIO  CECCONI,DAVIDE  IMPERIALE,FEDERICO  DIONISI,MAURIZIO  MARIANI,ALESSANDRO GIALLATINI,0,1,A,WALTER ZENGA,GIAN PIERO GASPERINI,3-5-2,3-4-1-2,94'07,49'40,0.53,20'06 (40%),16'36 (83%),3'30 (17%),29'34 (60%),12'56 (44%),16'38 (56%),3'08,4'19,3'14,3'22,2'32,3'31,4'10,3'11,5'10,4'02,5'45,7'16,6,22,1(0),12(1),0,3,1,10,5,10,8,0,1,7,0,0,0,2,6,4,15,17,259,556,0.74,0.88,29,44,113,195,117,317,1,3,47,99,8,16,0 (0),1 (1),99.99,22.925,69.709,7.356,98.646,24.38,66.079,8.187,7.2,6.8,5 (22%),6 (26%),12 (52%),21 (34%),12 (20%),28 (46%),0/0,0/1,0/1,1/3,0/0,0/0,0/1,0/1,0/1,0/2,0/0,0/0,GIOVANNI SIMEONE,99,LUIS MURIEL,9,5.25,4.75,1.53
2019-2020,30,PARMA,FIORENTINA,05/07/2020,STADIUM ENNIO TARDINI,19:30:00,ROSARIO  ABISSO,RODOLFO  DI VUOLO,DAMIANO  DI IORIO,LIVIO  MARINELLI,DANIELE  DOVERI,MATTEO PASSERI,1,2,A,ROBERTO D'AVERSA,GIUSEPPE IACHINI,4-3-3,3-5-2,104'03,48'05,0.46,25'54 (54%),13'39 (53%),12'15 (47%),22'11 (46%),13'42 (62%),8'29 (38%),5'53,2'47,4'56,3'28,3'46,5'04,5'48,3'05,3'56,2'40,3'39,3'03,8,9,3(1),6(2),1,2,3,3,5,3,4,2,3,8,0,0,1,0,3,0,19,17,405,317,0.84,0.8,46,21,193,136,166,160,1,6,52,53,10,14,1 (1),2 (2),110.362,31.438,72.589,6.335,109.802,30.686,72.247,6.869,6.2,6.4,27 (50%),7 (13%),20 (37%),12 (33%),8 (23%),16 (44%),1/1,0/0,3/3,1/2,0/0,0/0,0/0,0/0,0/0,2/2,0/0,0/0,JURAJ KUCKA,33,ERICK PULGAR,78,3.1,3.3,2.37
2019-2020,30,SAMPDORIA,SPAL,05/07/2020,STADIUM LUIGI FERRARIS,19:30:00,PIERO  GIACOMELLI,LORENZO  MANGANELLI,MATTEO  BOTTEGONI,MARCO  SERRA,MARCO  GUIDA,STEFANO LIBERTI,3,0,H,CLAUDIO RANIERI,LUIGI DI BIAGIO,4-4-1-1,3-5-2,98'09,52'58,0.54,23'06 (44%),16'10 (70%),6'56 (30%),29'52 (56%),11'22 (38%),18'30 (62%),4'52,2'17,3'42,3'37,3'18,5'20,3'27,4'45,3'26,5'45,4'52,7'37,9,9,5(3),4(0),2,0,2,3,4,5,2,2,7,5,1,0,1,1,4,13,18,12,322,520,0.8,0.87,33,33,98,186,191,301,3,3,89,47,8,23,0 (0),0 (0),110.677,30.733,72.375,7.569,110.134,31.489,70.254,8.391,6.6,6.5,13 (41%),9 (28%),10 (31%),30 (42%),10 (14%),32 (44%),1/2,1/2,1/1,1/1,0/0,0/0,3/5,1/2,3/6,4/10,0/0,0/0,KAROL LINETTY,7,ANDREA PETAGNA,37,1.85,3.6,4.2
2019-2020,30,UDINESE,GENOA,05/07/2020,STADIUM DACIA ARENA - STADIO FRIULI,19:30:00,DANIELE  ORSATO,FILIPPO  MELI,STEFANO  DEL GIOVANE,RICCARDO  ROS,LUIGI  NASCA,MAURO VIVENZI,2,2,D,LUCA GOTTI,DAVIDE NICOLA,3-5-2,3-5-2,98'40,53'22,0.54,25'05 (47%),13'13 (53%),11'52 (47%),28'17 (53%),20'55 (74%),7'22 (26%),3'32,4'03,5'25,3'53,2'23,5'49,5'30,4'06,5'39,3'15,4'38,5'08,9,6,6(2),4(2),1,2,3,3,3,2,2,4,11,5,2,0,3,1,2,4,13,14,364,435,0.81,0.82,29,40,162,210,173,185,6,0,47,56,16,13,0 (0),1 (0),107.539,29.121,69.455,8.963,107.773,29.906,69.636,8.231,6.7,6.6,7 (17%),16 (38%),19 (45%),14 (36%),12 (31%),13 (33%),1/1,0/0,0/0,5/8,0/0,1/1,0/0,0/0,2/3,2/2,0/0,0/0,SEKO FOFANA,6,GORAN PANDEV,19,2.25,3.3,3.25
2019-2020,30,NAPOLI,ROMA,05/07/2020,STADIUM SAN PAOLO,21:45:00,GIANLUCA  ROCCHI,STEFANO  ALASSIO,ALBERTO  TEGONI,GIANLUCA  MANGANIELLO,PAOLO SILVIO  MAZZOLENI,SALVATORE LONGO,2,1,H,GENNARO GATTUSO,PAULO FONSECA,4-3-3,3-4-2-1,96'30,59'24,0.62,35'13 (59%),16'05 (46%),19'08 (54%),24'11 (41%),12'48 (53%),11'23 (47%),6'08,3'35,5'07,6'10,6'44,7'29,2'38,5'35,5'19,2'32,3'37,4'30,18,5,12(2),4(1),0,0,11,2,6,1,2,10,11,5,1,0,1,0,8,1,10,16,610,394,0.9,0.86,61,31,191,160,358,203,6,4,41,59,14,15,0 (0),0 (0),116.967,27.63,79.134,10.203,114.948,26.999,78.166,9.783,7.1,6.9,27 (46%),11 (18%),21 (36%),13 (34%),8 (21%),17 (45%),0/0,0/1,3/3,1/5,0/0,0/0,2/2,0/1,1/1,1/2,0/0,0/0,LORENZO INSIGNE,24,HENRIKH MKHITARYAN,77,2.05,3.6,3.5
2019-2020,31,LECCE,LAZIO,07/07/2020,STADIUM ETTORE GIARDINIERO - VIA DEL MARE,19:30:00,FABIO  MARESCA,ALESSANDRO  COSTANZO,MAURO  VIVENZI,LORENZO  ILLUZZI,ROSARIO  ABISSO,VALENTINO FIORITO,2,1,H,FABIO LIVERANI,SIMONE INZAGHI,4-3-1-2,3-5-2,106'35,55'24,0.52,23'52 (43%),13'45 (58%),10'07 (42%),31'32 (57%),15'31 (49%),16'01 (51%),4'03,4'19,1'30,4'01,4'03,5'56,5'49,4'09,5'00,4'27,3'43,8'24,7,14,3(2),10(1),0,0,3,9,4,4,8,1,5,10,2,0,0,3,3,13,8,11,324,457,0.82,0.86,37,43,126,208,161,206,1,8,79,40,10,17,1 (0),0 (0),115.028,30.461,76.281,8.286,113.998,29.586,75.444,8.968,6.4,6.3,14 (39%),7 (19%),15 (42%),19 (37%),11 (21%),22 (42%),1/3,2/2,0/0,2/2,0/0,0/0,0/2,2/2,3/4,5/9,0/0,0/0,FABIO LUCIONI,5,FELIPE CAICEDO,20,8.0,5.25,1.36
2019-2020,31,MILAN,JUVENTUS,07/07/2020,STADIUM GIUSEPPE MEAZZA,21:45:00,MARCO  GUIDA,CIRO  CARBONE,SALVATORE  LONGO,FEDERICO  LA PENNA,PIERO  GIACOMELLI,FILIPPO MELI,4,2,H,STEFANO PIOLI,MAURIZIO SARRI,4-2-3-1,4-3-3,98'25,51'34,0.52,25'49 (50%),17'18 (67%),8'31 (33%),25'45 (50%),13'51 (54%),11'54 (46%),4'35,5'14,3'34,4'24,1'39,6'23,4'59,3'02,4'49,3'54,4'06,4'55,9,9,9(4),4(2),2,0,8,4,0,5,2,5,7,5,2,1,4,1,2,6,14,16,414,422,0.85,0.87,37,35,147,158,230,229,2,3,50,33,8,11,1 (1),0 (0),104.745,30.65,66.008,8.087,107.031,29.933,67.929,9.169,6.2,6.4,17 (52%),4 (12%),12 (36%),15 (33%),10 (23%),20 (44%),0/0,0/0,0/0,0/2,0/0,0/0,1/1,0/0,0/1,2/2,0/0,0/0,ZLATAN IBRAHIMOVIC,21,ADRIEN RABIOT,25,3.5,3.3,2.15
2019-2020,31,FIORENTINA,CAGLIARI,08/07/2020,STADIUM ARTEMIO FRANCHI,19:30:00,GIANLUCA  MANGANIELLO,SERGIO  RANGHETTI,VALERIO  COLAROSSI,EUGENIO  ABBATTISTA,LUCA  PAIRETTO,LORENZO MANGANELLI,0,0,D,GIUSEPPE IACHINI,WALTER ZENGA,3-4-3,4-3-3,99'10,65'06,0.66,36'40 (56%),21'14 (58%),15'26 (42%),28'26 (44%),21'32 (76%),6'54 (24%),5'23,5'32,7'50,5'57,6'17,5'41,3'03,5'21,6'46,4'18,3'19,5'39,11,11,7(0),7(0),0,0,6,4,4,4,7,6,3,6,0,0,0,3,6,2,11,11,538,317,0.89,0.82,39,32,218,156,281,129,3,3,71,66,16,10,0 (0),0 (0),107.6,30.79,69.343,7.467,110.699,30.67,72.498,7.531,6.3,6.5,34 (61%),10 (18%),12 (21%),20 (50%),6 (15%),14 (35%),0/0,0/0,3/3,2/3,0/0,0/0,0/0,0/0,3/4,2/3,0/0,0/0,FRANCK RIBERY,7,ALESSIO CRAGNO,28,1.95,3.4,4.0
2019-2020,31,GENOA,NAPOLI,08/07/2020,STADIUM LUIGI FERRARIS,19:30:00,MAURIZIO  MARIANI,GIOVANNI  BACCINI,ANTONIO  SANTORO,MARCO  PICCININI,GIANPAOLO  CALVARESE,GIACOMO PAGANESSI,1,2,A,DAVIDE NICOLA,GENNARO GATTUSO,3-5-2,4-3-3,97'20,50'24,0.52,18'08 (36%),10'35 (58%),7'33 (42%),32'16 (64%),15'14 (47%),17'02 (53%),2'05,2'04,2'57,2'51,2'31,5'40,4'43,6'19,6'54,5'22,4'11,4'47,7,16,3(1),11(2),0,1,3,9,4,5,9,2,3,7,1,2,3,0,6,8,13,6,267,610,0.77,0.89,20,41,115,213,132,356,2,5,58,76,10,12,0 (0),0 (0),110.008,28.349,74.397,7.262,111.944,28.059,76.322,7.563,6.6,6.7,18 (46%),8 (21%),13 (33%),9 (18%),9 (19%),31 (63%),2/2,0/1,2/6,1/2,0/0,0/0,1/1,0/1,2/2,0/1,0/0,0/0,EDOARDO GOLDANIGA,5,HIRVING LOZANO,11,5.75,4.0,1.55
2019-2020,31,ATALANTA,SAMPDORIA,08/07/2020,STADIUM GEWISS STADIUM,21:45:00,ANTONIO  GIUA,DANIELE  BINDONI,TARCISIO  VILLA,LORENZO  MAGGIONI,LUIGI  NASCA,MAURO GALETTO,2,0,H,GIAN PIERO GASPERINI,CLAUDIO RANIERI,3-4-1-2,4-5-1,95'06,48'38,0.51,30'15 (62%),15'15 (50%),15'00 (50%),18'23 (38%),13'25 (73%),4'58 (27%),5'05,4'10,5'04,4'46,4'41,6'29,3'36,3'14,3'12,2'25,1'54,4'02,12,11,7(2),5(0),0,0,7,1,5,6,5,4,6,4,1,0,0,2,7,9,12,20,503,238,0.84,0.68,52,27,188,94,263,117,4,4,95,90,15,13,0 (0),0 (0),107.462,28.666,70.343,8.453,110.009,27.78,72.537,9.692,6.7,6.8,24 (41%),12 (20%),23 (39%),9 (23%),12 (31%),18 (46%),0/1,1/2,4/7,1/3,0/0,0/0,0/0,1/2,0/2,0/2,0/0,0/0,LUIS MURIEL,9,KAROL LINETTY,7,1.36,5.25,8.0
2019-2020,31,BOLOGNA,SASSUOLO,08/07/2020,STADIUM RENATO DALL'ARA,21:45:00,FRANCESCO  FOURNEAU,FABIANO  PRETI,ROBERT  AVALOS,MANUEL  VOLPI,FABRIZIO  PASQUA,RODOLFO DI VUOLO,1,2,A,SINISA MIHAJLOVIC,ROBERTO DE ZERBI,4-2-3-1,4-2-3-1,97'50,43'35,0.45,19'28 (45%),10'32 (54%),8'56 (46%),24'07 (55%),12'03 (50%),12'04 (50%),2'37,1'57,3'13,2'52,4'07,4'42,4'26,3'06,6'50,4'20,3'19,2'06,8,12,6(1),6(2),0,1,4,5,2,6,4,2,3,4,0,1,3,1,7,8,17,16,317,420,0.8,0.87,26,24,124,150,167,246,2,3,64,62,11,9,0 (0),0 (0),107.781,27.754,71.323,8.704,106.97,28.362,70.348,8.26,6.5,6.4,14 (36%),3 (8%),22 (56%),16 (33%),14 (28%),19 (39%),0/0,0/3,1/1,1/3,0/0,0/0,0/0,0/3,0/1,3/4,0/0,1/1,MUSA BARROW,99,DOMENICO BERARDI,25,2.25,3.5,3.0
2019-2020,31,ROMA,PARMA,08/07/2020,STADIUM OLIMPICO,21:45:00,MICHAEL  FABBRI,STEFANO  LIBERTI,LORENZO  GORI,IVANO  PEZZUTO,PAOLO SILVIO  MAZZOLENI,STEFANO DEL GIOVANE,2,1,H,PAULO FONSECA,ROBERTO D'AVERSA,3-4-2-1,4-3-3,98'06,52'33,0.54,29'34 (56%),10'28 (35%),19'06 (65%),22'59 (44%),16'31 (72%),6'28 (28%),4'24,5'16,7'16,5'38,3'06,3'54,2'39,4'33,3'07,3'06,2'47,6'47,17,4,9(2),2(1),0,1,6,2,8,2,1,6,8,1,2,0,1,3,8,3,19,10,452,308,0.89,0.81,52,45,175,124,225,139,6,0,55,58,19,12,0 (0),1 (1),111.396,28.229,72.564,10.603,111.407,28.25,73.986,9.171,6.7,6.7,22 (33%),14 (21%),31 (46%),17 (59%),6 (20%),6 (21%),3/5,3/6,2/3,5/9,0/0,0/0,1/1,3/6,2/5,0/1,0/0,0/0,HENRIKH MKHITARYAN,77,JURAJ KUCKA,33,1.5,4.5,6.0
2019-2020,31,TORINO,BRESCIA,08/07/2020,STADIUM OLIMPICO GRANDE TORINO,21:45:00,DANIELE  DOVERI,ALESSANDRO  GIALLATINI,DOMENICO  ROCCA,DAVIDE  GHERSINI,DAVIDE  MASSA,DAMIANO DI IORIO,3,1,H,MORENO LONGO,DIEGO LOPEZ,3-4-1-2,4-4-2,96'09,48'46,0.51,26'07 (54%),14'28 (55%),11'39 (45%),22'39 (46%),13'35 (60%),9'04 (40%),3'48,4'06,5'56,5'23,3'15,3'39,3'21,3'34,3'11,3'19,4'17,4'57,14,13,10(2),6(1),0,0,6,5,4,7,5,6,7,5,0,0,2,0,6,5,24,19,403,290,0.83,0.76,45,30,150,116,208,144,4,2,79,53,12,17,0 (0),0 (0),104.453,31.77,64.883,7.8,106.991,30.101,68.471,8.419,6.3,6.5,19 (41%),11 (24%),16 (35%),13 (30%),6 (13%),25 (57%),1/2,0/1,5/5,1/1,1/1,1/1,0/0,0/1,1/2,4/6,2/3,1/1,SIMONE VERDI,24,ERNESTO TORREGROSSA,11,1.61,3.9,5.5
2019-2020,31,SPAL,UDINESE,09/07/2020,STADIUM PAOLO MAZZA,19:30:00,DANIELE  CHIFFI,GIORGIO  SCHENONE,ALESSIO  TOLFO,GIANLUCA  AURELIANO,PAOLO  VALERI,FILIPPO VALERIANI,0,3,A,LUIGI DI BIAGIO,LUCA GOTTI,3-5-2,3-5-2,96'10,58'35,0.61,28'34 (49%),12'32 (44%),16'02 (56%),30'01 (51%),17'01 (57%),13'00 (43%),4'20,5'36,5'29,4'35,3'27,5'06,5'59,4'51,5'08,3'54,5'13,4'56,11,7,3(0),4(3),0,0,1,4,8,3,1,3,0,4,0,1,0,1,9,1,11,9,489,461,0.88,0.87,33,46,179,168,277,247,0,1,55,44,8,10,0 (0),0 (0),108.769,28.982,70.54,9.247,109.919,27.963,72.619,9.337,6.7,6.9,19 (33%),13 (22%),26 (45%),16 (39%),4 (10%),21 (51%),2/4,0/0,0/5,0/3,0/0,0/1,0/0,0/0,0/4,1/4,1/1,2/3,ALESSANDRO MURGIA,11,KEVIN LASAGNA,15,3.4,3.3,2.2
2019-2020,31,HELLAS VERONA,INTER,09/07/2020,STADIUM MARCANTONIO BENTEGODI,21:45:00,MASSIMILIANO  IRRATI,MATTEO  PASSERI,ALESSANDRO  LO CICERO,RICCARDO  ROS,DANIELE  ORSATO,DARIO CECCONI,2,2,D,IVAN JURIC,ANTONIO CONTE,3-4-2-1,3-5-2,98'11,50'52,0.52,21'14 (42%),13'19 (63%),7'55 (37%),29'38 (58%),19'51 (67%),9'47 (33%),4'00,3'51,3'53,2'21,2'44,4'24,5'30,4'50,7'28,2'33,3'04,6'13,10,13,4(2),7(1),0,1,3,4,6,6,5,1,6,7,2,0,0,4,0,5,19,12,301,415,0.77,0.8,22,39,94,178,185,198,3,4,59,52,13,17,0 (0),0 (0),115.0,29.187,75.758,10.055,115.687,29.136,76.606,9.945,6.9,6.9,20 (45%),9 (21%),15 (34%),23 (42%),16 (29%),16 (29%),1/1,0/0,2/3,0/0,0/0,0/0,0/0,0/0,5/5,3/3,0/0,0/0,MIGUEL VELOSO,4,ANTONIO CANDREVA,87,4.5,3.75,1.75
2019-2020,32,LAZIO,SASSUOLO,11/07/2020,STADIUM OLIMPICO,17:15:00,MARCO  DI BELLO,MAURO  GALETTO,DAVIDE  IMPERIALE,ANTONIO  DI MARTINO,GIANLUCA  AURELIANO,SALVATORE LONGO,1,2,A,SIMONE INZAGHI,ROBERTO DE ZERBI,3-5-2,4-2-3-1,98'59,53'17,0.54,20'01 (38%),12'08 (61%),7'53 (39%),33'16 (62%),17'33 (53%),15'43 (47%),2'54,2'44,2'53,3'30,3'10,4'49,6'17,6'20,6'30,5'28,4'33,4'08,7,11,1(1),4(2),0,0,1,4,6,7,1,0,4,6,0,2,2,1,1,5,13,7,301,558,0.8,0.88,27,49,100,224,174,285,3,0,44,47,15,9,0 (0),0 (0),103.649,25.641,69.356,8.652,103.469,26.12,69.314,8.035,6.8,6.7,16 (36%),12 (28%),16 (36%),27 (53%),10 (20%),14 (27%),0/1,0/1,2/3,0/0,0/0,0/0,0/0,0/1,0/0,1/1,0/0,0/0,MANUEL LAZZARI,29,FRANCESCO CAPUTO,9,1.6,4.2,5.25
2019-2020,32,BRESCIA,ROMA,11/07/2020,STADIUM MARIO RIGAMONTI,19:30:00,GIANPAOLO  CALVARESE,RODOLFO  DI VUOLO,PASQUALE  DE MEO,LORENZO  MAGGIONI,GIANLUCA  MANGANIELLO,FABIANO PRETI,0,3,A,DIEGO LOPEZ,PAULO FONSECA,4-3-1-2,3-4-2-1,96'37,44'35,0.46,18'15 (41%),9'43 (53%),8'32 (47%),26'20 (59%),13'45 (52%),12'35 (48%),3'11,2'58,2'23,3'35,2'01,4'06,4'56,4'13,4'08,4'17,2'54,5'52,8,16,4(0),9(3),0,1,2,8,4,7,4,4,4,9,0,2,2,1,3,8,19,16,276,467,0.79,0.89,30,37,107,180,139,250,3,6,44,59,18,9,0 (0),0 (0),108.8,27.348,70.884,10.568,105.445,28.263,66.87,10.312,6.7,6.5,10 (21%),14 (30%),23 (49%),23 (45%),12 (24%),16 (31%),1/1,2/2,0/1,0/2,0/0,0/1,0/1,2/2,1/2,4/5,0/0,0/0,ERNESTO TORREGROSSA,11,NIKOLA KALINIC,19,6.0,5.0,1.44
2019-2020,32,JUVENTUS,ATALANTA,11/07/2020,STADIUM ALLIANZ STADIUM,21:45:00,PIERO  GIACOMELLI,STEFANO  DEL GIOVANE,FILIPPO  VALERIANI,MARCO  PICCININI,MASSIMILIANO  IRRATI,GIORGIO SCHENONE,2,2,D,MAURIZIO SARRI,GIAN PIERO GASPERINI,4-3-3,3-4-1-2,95'13,59'25,0.62,27'56 (47%),12'58 (46%),14'58 (54%),31'29 (53%),13'43 (44%),17'46 (56%),2'38,5'11,5'24,4'44,2'59,7'00,7'28,4'30,6'08,3'16,4'50,5'17,6,9,5(2),4(2),2,0,3,3,1,5,1,3,3,4,0,2,3,0,2,4,11,18,503,521,0.87,0.87,39,36,188,162,276,323,1,2,38,46,8,5,2 (2),0 (0),106.417,30.896,68.522,6.999,108.891,31.503,70.705,6.683,6.4,6.5,13 (35%),10 (27%),14 (38%),19 (49%),6 (15%),14 (36%),0/0,0/0,0/2,0/0,0/0,0/0,1/1,0/0,1/2,0/1,0/0,0/0,CRISTIANO RONALDO,7,DUVAN ZAPATA,91,2.05,3.6,3.5
2019-2020,32,GENOA,SPAL,12/07/2020,STADIUM LUIGI FERRARIS,17:15:00,MARCO  GUIDA,VALENTINO  FIORITO,DARIO  CECCONI,DANIELE  DOVERI,PAOLO SILVIO  MAZZOLENI,ALBERTO TEGONI,2,0,H,DAVIDE NICOLA,LUIGI DI BIAGIO,4-3-2-1,3-5-2,98'00,46'49,0.48,27'26 (59%),17'02 (62%),10'24 (38%),19'23 (41%),11'33 (60%),7'50 (40%),4'03,3'18,6'15,5'04,3'20,5'26,2'04,2'26,4'19,1'30,2'23,6'41,12,3,9(2),0(0),2,0,7,0,3,3,0,6,7,0,1,0,0,2,8,2,15,19,407,309,0.8,0.73,35,21,132,118,240,170,1,0,69,70,17,14,1 (0),0 (0),105.988,31.768,67.334,6.886,103.79,32.305,64.281,7.204,6.3,6.2,23 (37%),16 (25%),24 (38%),18 (45%),7 (17%),15 (38%),1/3,0/0,0/2,0/1,0/0,0/0,1/5,0/0,0/0,1/2,0/0,0/0,GORAN PANDEV,19,SERGIO FLOCCARI,10,1.66,3.8,5.25
2019-2020,32,CAGLIARI,LECCE,12/07/2020,STADIUM SARDEGNA ARENA,19:30:00,DANIELE  ORSATO,LORENZO  MANGANELLI,ALESSANDRO  GIALLATINI,FRANCESCO  FOURNEAU,LUCA  PAIRETTO,ALESSANDRO LO CICERO,0,0,D,WALTER ZENGA,FABIO LIVERANI,3-5-2,4-3-2-1,99'01,51'59,0.52,29'06 (56%),13'10 (45%),15'56 (55%),22'53 (44%),14'56 (65%),7'57 (35%),4'26,4'00,5'28,3'30,5'16,6'26,4'08,3'06,3'39,3'31,3'21,5'08,12,15,6(0),10(0),0,1,4,6,6,5,9,5,8,8,0,0,4,3,5,7,10,7,443,382,0.87,0.84,28,43,174,134,241,205,3,5,48,74,7,16,0 (0),0 (0),107.057,26.549,72.286,8.222,96.574,25.839,63.816,6.919,6.8,6.6,13 (21%),13 (20%),37 (59%),20 (50%),6 (15%),14 (35%),0/0,0/1,5/7,4/8,0/0,0/0,0/0,0/1,3/3,1/2,0/0,0/0,NAHITAN NANDEZ,18,RICCARDO SAPONARA,18,1.7,4.0,4.33
2019-2020,32,FIORENTINA,HELLAS VERONA,12/07/2020,STADIUM ARTEMIO FRANCHI,19:30:00,DANIELE  CHIFFI,FILIPPO  MELI,NICCOLO'  PAGLIARDINI,FEDERICO  DIONISI,ALEANDRO  DI PAOLO,CIRO CARBONE,1,1,D,GIUSEPPE IACHINI,IVAN JURIC,3-4-3,3-4-2-1,104'57,64'16,0.61,31'10 (48%),17'17 (55%),13'53 (45%),33'06 (52%),21'52 (66%),11'14 (34%),5'02,3'18,5'18,5'50,4'35,7'07,4'45,5'10,7'50,4'56,3'02,7'23,10,5,3(1),4(1),1,1,2,3,7,1,4,3,4,3,1,1,1,3,6,8,15,14,357,327,0.77,0.72,39,25,125,118,193,184,2,2,65,93,15,13,0 (0),0 (0),114.93,30.836,73.602,10.492,117.913,30.608,76.701,10.604,6.7,6.8,24 (47%),8 (16%),19 (37%),24 (44%),6 (12%),24 (44%),3/4,0/0,7/8,1/1,0/0,0/1,1/1,0/0,0/0,0/0,0/0,0/0,PATRICK CUTRONE,63,SOFYAN AMRABAT,34,2.05,3.4,3.6
